"Allocation","Object/s (avg.)","Objects Created","Level"
"java.lang.Object[]","582","39611","1"
"byte[]","417","28399","1"
"java.lang.String","325","22114","1"
"java.util.ArrayList$Itr","213","14490","1"
"java.util.ArrayList","212","14457","1"
"java.util.concurrent.ConcurrentHashMap$Node","181","12360","1"
"char[]","171","11685","1"
"com.yourkit.probes.CallStatus","153","10439","1"
"java.util.LinkedHashMap","131","8952","1"
"java.util.concurrent.ConcurrentHashMap","80","5499","1"
"org.apache.tomcat.util.http.ValuesEnumerator","80","5488","1"
"java.util.HashMap$Node[]","71","4836","1"
"java.util.HashMap","70","4819","1"
"java.nio.HeapByteBuffer","70","4802","1"
"java.lang.Class[]","61","4153","1"
"java.lang.StringBuilder","60","4127","1"
"java.nio.HeapCharBuffer","60","4112","1"
"java.util.LinkedHashMap$Entry","51","3509","1"
"java.util.HashSet","50","3423","1"
"java.util.HashMap$Node","42","2857","1"
"com.fasterxml.jackson.databind.ser.DefaultSerializerProvider$Impl","40","2760","1"
"java.lang.annotation.Annotation[]","40","2756","1"
"java.util.Collections$UnmodifiableCollection$1","35","2446","1"
"int[]","30","2070","1"
"java.util.LinkedHashSet","30","2070","1"
"java.util.concurrent.atomic.AtomicReference","30","2070","1"
"org.springframework.core.annotation.TypeMappedAnnotations","30","2070","1"
"org.springframework.core.ResolvableType","30","2068","1"
"org.springframework.web.context.request.ServletWebRequest","30","2064","1"
"java.util.LinkedHashMap$LinkedKeyIterator","30","2062","1"
"java.lang.ThreadLocal$ThreadLocalMap$Entry","30","2055","1"
"java.io.StringReader","30","2047","1"
"java.lang.String[]","28","1927","1"
"java.util.TreeMap$KeyIterator","27","1889","1"
"java.util.TreeMap","22","1510","1"
"java.util.concurrent.CopyOnWriteArrayList$COWIterator","20","1390","1"
"java.util.LinkedHashMap$LinkedValueIterator","20","1388","1"
"java.util.LinkedHashMap$LinkedValues","20","1388","1"
"com.fasterxml.jackson.core.json.JsonWriteContext","20","1380","1"
"java.util.Formatter$FixedString","20","1380","1"
"org.springframework.http.MediaType","20","1380","1"
"java.util.concurrent.atomic.AtomicBoolean","20","1378","1"
"org.springframework.core.convert.support.GenericConversionService$ConverterCacheKey","20","1378","1"
"org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter$$Lambda$665.0x000000080138d088","20","1377","1"
"org.springframework.http.MediaType$$Lambda$720.0x000000080145af50","20","1376","1"
"org.springframework.web.util.pattern.PathPattern$MatchingContext","20","1374","1"
"org.springframework.web.context.request.ServletRequestAttributes","20","1370","1"
"java.io.ByteArrayOutputStream","20","1361","1"
"java.util.TreeMap$Entry","16","1121","1"
"java.lang.Long","13","909","1"
"java.util.TreeMap$KeySet","12","826","1"
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionNode","11","779","1"
"java.util.Collections$UnmodifiableRandomAccessList","11","751","1"
"java.util.concurrent.ConcurrentHashMap$KeyIterator","10","730","1"
"java.util.Collections$UnmodifiableMap","10","698","1"
"com.fasterxml.jackson.core.io.ContentReference","10","690","1"
"com.fasterxml.jackson.core.io.IOContext","10","690","1"
"com.fasterxml.jackson.core.json.UTF8JsonGenerator","10","690","1"
"com.fasterxml.jackson.databind.ObjectWriter","10","690","1"
"java.lang.Object","10","690","1"
"java.util.Collections$1","10","690","1"
"java.util.Formatter","10","690","1"
"java.util.Formatter$FormatSpecifier","10","690","1"
"java.util.LinkedHashMap$LinkedEntryIterator","10","690","1"
"java.util.LinkedHashMap$LinkedEntrySet","10","690","1"
"java.util.TreeSet","10","690","1"
"org.apache.catalina.connector.CoyoteOutputStream","10","690","1"
"org.apache.catalina.util.ParameterMap","10","690","1"
"org.springframework.context.event.AbstractApplicationEventMulticaster$ListenerCacheKey","10","690","1"
"org.springframework.http.CacheControl","10","690","1"
"org.springframework.http.server.ServletServerHttpRequest","10","690","1"
