"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"org.apache.tomcat.util.http.ValuesEnumerator.<init>(MimeHeaders, String) MimeHeaders.java","9","< 0.1","1","298"
"javax.management.openmbean.CompositeDataSupport.<init>(CompositeType, String[], Object[]) CompositeDataSupport.java","7","0.2","0.4","34"
"javax.management.openmbean.CompositeDataSupport.<init>(SortedMap, CompositeType) CompositeDataSupport.java","5","0.1","2","34"
"org.springframework.web.servlet.mvc.method.RequestMappingInfo.<init>(String, PathPatternsRequestCondition, PatternsRequestCondition, RequestMethodsRequestCondition, ParamsRequestCondition, HeadersRequestCondition, ConsumesRequestCondition, ProducesRequestCondition, RequestConditionHolder, RequestMappingInfo$BuilderConfiguration) RequestMappingInfo.java","2","< 0.1","0.2","37"
"com.sun.management.GarbageCollectionNotificationInfo.<init>(CompositeData) GarbageCollectionNotificationInfo.java","2","2","< 0.1","1"
"org.springframework.http.server.DefaultRequestPath.<init>(String, String) DefaultRequestPath.java","2","< 0.1","0.3","37"
"com.sun.management.GcInfo.<init>(CompositeData) GcInfo.java","2","2","< 0.1","1"
"org.springframework.web.method.support.ModelAndViewContainer.<init>() ModelAndViewContainer.java","1","< 0.1","0.6","37"
"org.springframework.web.method.HandlerMethod$ReturnValueMethodParameter.<init>(HandlerMethod, Object) HandlerMethod.java","1","< 0.1","0.2","37"
"org.springframework.web.servlet.mvc.method.annotation.ExtendedServletRequestDataBinder.<init>(Object, String) ExtendedServletRequestDataBinder.java","1","< 0.1","0.1","37"
"com.fasterxml.jackson.core.json.UTF8JsonGenerator.<init>(IOContext, int, ObjectCodec, OutputStream, char) UTF8JsonGenerator.java","1","< 0.1","0.2","16"
"org.springframework.web.bind.ServletRequestDataBinder.<init>(Object, String) ServletRequestDataBinder.java","1","< 0.1","0.3","37"
"org.springframework.web.method.HandlerMethod$HandlerMethodParameter.<init>(HandlerMethod, int) HandlerMethod.java","1","< 0.1","0.1","37"
"java.lang.management.MemoryUsage.<init>(CompositeData) MemoryUsage.java","1","< 0.1","0.2","16"
"org.springframework.core.annotation.SynthesizingMethodParameter.<init>(Method, int) SynthesizingMethodParameter.java","1","< 0.1","0.1","37"
"org.springframework.web.bind.WebDataBinder.<init>(Object, String) WebDataBinder.java","0.9","< 0.1","0.2","37"
"org.springframework.validation.support.BindingAwareModelMap.<init>() BindingAwareModelMap.java","0.8","< 0.1","0.1","37"
"org.springframework.core.MethodParameter.<init>(Method, int) MethodParameter.java","0.8","< 0.1","< 0.1","16"
"org.springframework.http.server.ServletServerHttpResponse.<init>(HttpServletResponse) ServletServerHttpResponse.java","0.8","< 0.1","0.2","37"
"org.springframework.core.MethodParameter.<init>(Method, int, int) MethodParameter.java","0.7","< 0.1","0.1","16"
"org.springframework.validation.DataBinder.<init>(Object, String) DataBinder.java","0.7","< 0.1","0.3","37"
"com.fasterxml.jackson.databind.ser.DefaultSerializerProvider$Impl.<init>(SerializerProvider, SerializationConfig, SerializerFactory) DefaultSerializerProvider.java","0.7","< 0.1","0.1","28"
"org.springframework.http.MediaType.<init>(MimeType) MediaType.java","0.6","< 0.1","0.6","14"
"org.springframework.ui.ExtendedModelMap.<init>() ExtendedModelMap.java","0.6","< 0.1","0.2","37"
"com.fasterxml.jackson.databind.ser.DefaultSerializerProvider.<init>(SerializerProvider, SerializationConfig, SerializerFactory) DefaultSerializerProvider.java","0.5","< 0.1","0.1","28"
"org.springframework.http.server.ServletServerHttpResponse$ServletResponseHttpHeaders.<init>(ServletServerHttpResponse) ServletServerHttpResponse.java","0.5","< 0.1","0.4","37"
"com.fasterxml.jackson.core.json.JsonGeneratorImpl.<init>(IOContext, int, ObjectCodec) JsonGeneratorImpl.java","0.4","< 0.1","0.1","16"
"org.springframework.ui.ModelMap.<init>() ModelMap.java","0.4","< 0.1","0.4","37"
"org.springframework.web.context.request.ServletWebRequest.<init>(HttpServletRequest, HttpServletResponse) ServletWebRequest.java","0.4","< 0.1","0.4","111"
"org.springframework.util.LinkedCaseInsensitiveMap$EntrySetIterator.<init>(LinkedCaseInsensitiveMap) LinkedCaseInsensitiveMap.java","0.4","< 0.1","0.2","37"
"com.fasterxml.jackson.databind.SerializerProvider.<init>(SerializerProvider, SerializationConfig, SerializerFactory) SerializerProvider.java","0.4","< 0.1","0.2","28"
"org.springframework.web.context.request.async.StandardServletAsyncWebRequest.<init>(HttpServletRequest, HttpServletResponse) StandardServletAsyncWebRequest.java","0.4","< 0.1","0.2","37"
"org.springframework.validation.DefaultBindingErrorProcessor.<init>() DefaultBindingErrorProcessor.java","0.3","< 0.1","0.3","37"
"com.fasterxml.jackson.core.base.GeneratorBase.<init>(int, ObjectCodec) GeneratorBase.java","0.3","< 0.1","0.1","16"
"org.apache.tomcat.util.http.parser.Host$MessageBytesReader.<init>(MessageBytes) Host.java","0.2","< 0.1","0.2","38"
"com.fasterxml.jackson.core.io.ContentReference.<init>(boolean, Object) ContentReference.java","0.2","< 0.1","0.1","37"
"org.springframework.web.servlet.mvc.condition.PathPatternsRequestCondition.<init>(SortedSet) PathPatternsRequestCondition.java","0.2","< 0.1","0.2","37"
"org.springframework.core.DefaultParameterNameDiscoverer.<init>() DefaultParameterNameDiscoverer.java","0.2","< 0.1","0.1","7"
"com.fasterxml.jackson.core.json.JsonWriteContext.<init>(int, JsonWriteContext, DupDetector) JsonWriteContext.java","0.2","< 0.1","0.1","37"
"com.fasterxml.jackson.core.json.JsonWriteContext.<init>(int, JsonWriteContext, DupDetector, Object) JsonWriteContext.java","0.2","< 0.1","0.1","37"
"org.springframework.web.servlet.FlashMap.<init>() FlashMap.java","0.2","< 0.1","0.2","37"
"org.apache.catalina.util.ParameterMap.<init>() ParameterMap.java","0.2","< 0.1","0.2","38"
"org.springframework.web.util.pattern.PathPattern$MatchingContext.<init>(PathPattern, PathContainer, boolean) PathPattern.java","0.2","< 0.1","0.2","74"
"org.springframework.web.method.annotation.ModelFactory.<init>(List, WebDataBinderFactory, SessionAttributesHandler) ModelFactory.java","0.2","< 0.1","0.2","37"
"org.springframework.web.method.support.HandlerMethodArgumentResolverComposite.<init>() HandlerMethodArgumentResolverComposite.java","0.2","< 0.1","0.2","37"
"org.springframework.util.LinkedCaseInsensitiveMap$EntryIterator.<init>(LinkedCaseInsensitiveMap) LinkedCaseInsensitiveMap.java","0.2","< 0.1","0.2","37"
"org.springframework.core.SerializableTypeWrapper$MethodParameterTypeProvider.<init>(MethodParameter) SerializableTypeWrapper.java","0.2","< 0.1","0.1","16"
"org.springframework.web.context.request.ServletWebRequest.<init>(HttpServletRequest) ServletWebRequest.java","0.2","< 0.1","0.2","37"
"org.springframework.beans.SimpleTypeConverter.<init>() SimpleTypeConverter.java","0.1","< 0.1","< 0.1","7"
"com.fasterxml.jackson.core.JsonStreamContext.<init>() JsonStreamContext.java","0.1","< 0.1","0.1","74"
"org.springframework.http.server.DefaultPathContainer.<init>(String, List) DefaultPathContainer.java","0.1","< 0.1","0.1","37"
"com.yourkit.an.ap.<init>(Class, String) a","0.1","< 0.1","0.1","2"
"sun.management.MemoryUsageCompositeData.<init>(MemoryUsage) MemoryUsageCompositeData.java","0.1","< 0.1","< 0.1","16"
"org.springframework.util.StreamUtils$NonClosingOutputStream.<init>(OutputStream) StreamUtils.java","0.1","< 0.1","0.1","37"
"org.springframework.http.server.ServletServerHttpRequest.<init>(HttpServletRequest) ServletServerHttpRequest.java","0.1","< 0.1","0.1","37"
"org.apache.catalina.connector.CoyoteOutputStream.<init>(OutputBuffer) CoyoteOutputStream.java","0.1","< 0.1","0.1","37"
"org.apache.tomcat.util.net.NioEndpoint$PollerEvent.<init>(NioEndpoint$NioSocketWrapper, int) NioEndpoint.java","0.1","< 0.1","0.1","38"
"java.util.WeakHashMap$EntrySet.<init>(WeakHashMap) WeakHashMap.java","0.1","< 0.1","0.1","5"
"org.springframework.util.LinkedCaseInsensitiveMap$EntrySet.<init>(LinkedCaseInsensitiveMap, Set) LinkedCaseInsensitiveMap.java","0.1","< 0.1","0.1","37"
"org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$Match.<init>(AbstractHandlerMethodMapping, Object, AbstractHandlerMethodMapping$MappingRegistration) AbstractHandlerMethodMapping.java","0.1","< 0.1","0.1","37"
"org.apache.catalina.core.ApplicationMapping$MappingImpl.<init>(String, String, MappingMatch, String) ApplicationMapping.java","0.1","< 0.1","0.1","37"
"org.springframework.web.bind.support.SimpleSessionStatus.<init>() SimpleSessionStatus.java","0.1","< 0.1","0.1","37"
"org.springframework.http.CacheControl.<init>() CacheControl.java","0.1","< 0.1","0.1","38"
"com.fasterxml.jackson.core.io.ContentReference.<init>(boolean, Object, int, int) ContentReference.java","0.1","< 0.1","0.1","37"
"com.fasterxml.jackson.core.io.IOContext.<init>(BufferRecycler, ContentReference, boolean) IOContext.java","0.1","< 0.1","0.1","37"
"org.springframework.http.server.DefaultPathContainer$DefaultPathSegment.<init>(String, String, MultiValueMap) DefaultPathContainer.java","0.1","< 0.1","0.1","37"
"org.springframework.util.LinkedCaseInsensitiveMap.<init>(int, Locale) LinkedCaseInsensitiveMap.java","0.1","< 0.1","< 0.1","7"
"java.lang.management.MemoryUsage.<init>(long, long, long, long) MemoryUsage.java","< 0.1","< 0.1","< 0.1","16"
"org.apache.catalina.connector.RequestFacade.<init>(Request) RequestFacade.java","< 0.1","< 0.1","< 0.1","38"
"org.springframework.core.convert.support.GenericConversionService$ConverterCacheKey.<init>(TypeDescriptor, TypeDescriptor) GenericConversionService.java","< 0.1","< 0.1","< 0.1","32"
"org.apache.catalina.connector.ResponseFacade.<init>(Response) ResponseFacade.java","< 0.1","< 0.1","< 0.1","38"
"org.springframework.context.i18n.SimpleLocaleContext.<init>(Locale) SimpleLocaleContext.java","< 0.1","< 0.1","< 0.1","37"
"org.springframework.web.servlet.FrameworkServlet$RequestBindingInterceptor.<init>(FrameworkServlet) FrameworkServlet.java","< 0.1","< 0.1","< 0.1","37"
"org.springframework.web.servlet.mvc.condition.AbstractRequestCondition.<init>() AbstractRequestCondition.java","< 0.1","< 0.1","< 0.1","37"
"javax.management.openmbean.TabularDataSupport.<init>(TabularType) TabularDataSupport.java","< 0.1","< 0.1","< 0.1","2"
"com.fasterxml.jackson.databind.DatabindContext.<init>() DatabindContext.java","< 0.1","< 0.1","< 0.1","28"
"javax.management.openmbean.TabularDataSupport.<init>(TabularType, int, float) TabularDataSupport.java","< 0.1","< 0.1","< 0.1","2"
"org.springframework.beans.TypeConverterSupport.<init>() TypeConverterSupport.java","< 0.1","< 0.1","< 0.1","7"
"sun.management.LazyCompositeData.<init>() LazyCompositeData.java","< 0.1","< 0.1","< 0.1","20"
"org.springframework.beans.TypeConverterDelegate.<init>(PropertyEditorRegistrySupport) TypeConverterDelegate.java","< 0.1","< 0.1","< 0.1","7"
"java.util.WeakHashMap$EntryIterator.<init>(WeakHashMap) WeakHashMap.java","< 0.1","< 0.1","< 0.1","5"
"sun.nio.ch.SocketChannelImpl.<init>(SelectorProvider, ProtocolFamily, FileDescriptor, SocketAddress) SocketChannelImpl.java","< 0.1","< 0.1","< 0.1","1"
"com.yourkit.an.ar.<init>(Class, String, Class[]) a","< 0.1","< 0.1","< 0.1","1"
"org.springframework.util.MimeType.<init>(MimeType) MimeType.java","< 0.1","< 0.1","< 0.1","14"
"com.sun.management.GarbageCollectionNotificationInfo.<init>(String, String, String, GcInfo) GarbageCollectionNotificationInfo.java","< 0.1","< 0.1","< 0.1","1"
"org.springframework.core.LocalVariableTableParameterNameDiscoverer.<init>() LocalVariableTableParameterNameDiscoverer.java","< 0.1","< 0.1","< 0.1","7"
"org.springframework.core.PrioritizedParameterNameDiscoverer.<init>() PrioritizedParameterNameDiscoverer.java","< 0.1","< 0.1","< 0.1","7"
"com.sun.management.GcInfo.<init>(GcInfoBuilder, long, long, long, MemoryUsage[], MemoryUsage[], Object[]) GcInfo.java","< 0.1","< 0.1","< 0.1","1"
"org.springframework.util.LinkedCaseInsensitiveMap$1.<init>(LinkedCaseInsensitiveMap, int, float) LinkedCaseInsensitiveMap.java","< 0.1","< 0.1","< 0.1","7"
"com.sun.management.internal.GarbageCollectionNotifInfoCompositeData.<init>(GarbageCollectionNotificationInfo) GarbageCollectionNotifInfoCompositeData.java","< 0.1","< 0.1","< 0.1","2"
"org.springframework.beans.PropertyEditorRegistrySupport.<init>() PropertyEditorRegistrySupport.java","< 0.1","< 0.1","< 0.1","7"
"com.fasterxml.jackson.core.JsonGenerator.<init>() JsonGenerator.java","< 0.1","< 0.1","< 0.1","7"
"org.springframework.beans.TypeConverterDelegate.<init>(PropertyEditorRegistrySupport, Object) TypeConverterDelegate.java","< 0.1","< 0.1","< 0.1","7"
"org.springframework.core.StandardReflectionParameterNameDiscoverer.<init>() StandardReflectionParameterNameDiscoverer.java","< 0.1","< 0.1","< 0.1","7"
"com.sun.management.internal.GcInfoCompositeData.<init>(GcInfo, GcInfoBuilder, Object[]) GcInfoCompositeData.java","< 0.1","< 0.1","< 0.1","2"
"java.util.WeakHashMap$HashIterator.<init>(WeakHashMap) WeakHashMap.java","< 0.1","< 0.1","< 0.1","5"
"com.yourkit.an.ar.<init>(Class, String, String, boolean) a","< 0.1","< 0.1","< 0.1","1"
"java.util.TreeMap$KeySpliterator.<init>(TreeMap, TreeMap$Entry, TreeMap$Entry, int, int, int) TreeMap.java","< 0.1","< 0.1","< 0.1","3"
