"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"java.lang.Thread.run() Thread.java","4703","313","200","15"
"org.apache.tomcat.util.threads.ThreadPoolExecutor.getTask() ThreadPoolExecutor.java","4239","98","0.7","43"
"org.apache.tomcat.util.threads.TaskQueue.take() TaskQueue.java","4194","99","0.1","42"
"org.apache.tomcat.util.threads.TaskQueue.take() TaskQueue.java","4194","99","3","42"
"java.util.concurrent.locks.LockSupport.park() LockSupport.java","3661","70","3661","52"
"org.apache.tomcat.util.threads.ThreadPoolExecutor.runWorker(ThreadPoolExecutor$Worker) ThreadPoolExecutor.java","2237","447","0","5"
"org.apache.tomcat.util.threads.ThreadPoolExecutor$Worker.run() ThreadPoolExecutor.java","2237","447","0","5"
"org.apache.coyote.AbstractProcessorLight.process(SocketWrapperBase, SocketEvent) AbstractProcessorLight.java","766","20","0.5","38"
"org.apache.coyote.http11.Http11Processor.service(SocketWrapperBase) Http11Processor.java","765","20","13","38"
"org.springframework.web.filter.OncePerRequestFilter.doFilter(ServletRequest, ServletResponse, FilterChain) OncePerRequestFilter.java","678","4","9","142"
"org.springframework.web.filter.CharacterEncodingFilter.doFilterInternal(HttpServletRequest, HttpServletResponse, FilterChain) CharacterEncodingFilter.java","666","14","0.5","47"
"org.apache.catalina.core.ApplicationFilterChain.doFilter(ServletRequest, ServletResponse) ApplicationFilterChain.java","661","3","0.8","187"
"org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ServletRequest, ServletResponse) ApplicationFilterChain.java","660","3","1","187"
"com.yourkit.an.ar.invoke(Object, Object[]) a","381","0.5","371","710"
"org.springframework.web.filter.FormContentFilter.doFilterInternal(HttpServletRequest, HttpServletResponse, FilterChain) FormContentFilter.java","295","6","0.3","46"
"org.springframework.web.filter.RequestContextFilter.doFilterInternal(HttpServletRequest, HttpServletResponse, FilterChain) RequestContextFilter.java","281","6","0.7","46"
"org.apache.tomcat.websocket.server.WsFilter.doFilter(ServletRequest, ServletResponse, FilterChain) WsFilter.java","275","5","2","47"
"jakarta.servlet.http.HttpServlet.service(ServletRequest, ServletResponse) HttpServlet.java","268","5","0.2","47"
"org.springframework.web.servlet.FrameworkServlet.service(HttpServletRequest, HttpServletResponse) FrameworkServlet.java","268","5","2","47"
"jakarta.servlet.http.HttpServlet.service(HttpServletRequest, HttpServletResponse) HttpServlet.java","261","5","0.3","46"
"org.springframework.web.servlet.FrameworkServlet.doGet(HttpServletRequest, HttpServletResponse) FrameworkServlet.java","260","5","0.2","46"
"org.springframework.web.servlet.FrameworkServlet.processRequest(HttpServletRequest, HttpServletResponse) FrameworkServlet.java","260","5","1","46"
"org.springframework.web.servlet.DispatcherServlet.doService(HttpServletRequest, HttpServletResponse) DispatcherServlet.java","250","5","2","46"
"org.springframework.web.servlet.DispatcherServlet.doDispatch(HttpServletRequest, HttpServletResponse) DispatcherServlet.java","234","5","11","46"
"org.springframework.web.method.support.HandlerMethodReturnValueHandlerComposite.handleReturnValue(Object, MethodParameter, ModelAndViewContainer, NativeWebRequest) HandlerMethodReturnValueHandlerComposite.java","140","3","0.4","37"
"org.springframework.web.servlet.mvc.method.annotation.RequestResponseBodyMethodProcessor.handleReturnValue(Object, MethodParameter, ModelAndViewContainer, NativeWebRequest) RequestResponseBodyMethodProcessor.java","131","3","0.4","37"
"org.springframework.web.servlet.mvc.method.annotation.AbstractMessageConverterMethodProcessor.writeWithMessageConverters(Object, MethodParameter, ServletServerHttpRequest, ServletServerHttpResponse) AbstractMessageConverterMethodProcessor.java","128","3","7","37"
"org.apache.coyote.AbstractProcessor.action(ActionCode, Object) AbstractProcessor.java","63","0.1","2","491"
"org.apache.catalina.connector.CoyoteOutputStream.flush() CoyoteOutputStream.java","63","0.5","0.8","113"
"org.apache.catalina.connector.OutputBuffer.flush() OutputBuffer.java","61","0.5","0.5","113"
"org.apache.catalina.connector.OutputBuffer.doFlush(boolean) OutputBuffer.java","61","0.4","1","151"
"org.apache.coyote.http11.Http11Processor.prepareResponse() Http11Processor.java","36","0.9","4","37"
"org.springframework.web.servlet.DispatcherServlet.getHandler(HttpServletRequest) DispatcherServlet.java","28","0.6","4","46"
"com.fasterxml.jackson.core.json.UTF8JsonGenerator.flush() UTF8JsonGenerator.java","26","0.8","0.3","32"
"org.springframework.web.method.support.HandlerMethodArgumentResolverComposite.resolveArgument(MethodParameter, ModelAndViewContainer, NativeWebRequest, WebDataBinderFactory) HandlerMethodArgumentResolverComposite.java","23","0.6","0.2","37"
"org.springframework.http.converter.AbstractGenericHttpMessageConverter.write(Object, Type, MediaType, HttpOutputMessage) AbstractGenericHttpMessageConverter.java","22","3","0.1","7"
"org.springframework.web.method.annotation.AbstractNamedValueMethodArgumentResolver.resolveArgument(MethodParameter, ModelAndViewContainer, NativeWebRequest, WebDataBinderFactory) AbstractNamedValueMethodArgumentResolver.java","22","0.6","1","37"
"org.apache.coyote.http11.Http11Processor.prepareRequest() Http11Processor.java","19","0.5","1","38"
"org.springframework.http.converter.json.AbstractJackson2HttpMessageConverter.writeInternal(Object, Type, HttpOutputMessage) AbstractJackson2HttpMessageConverter.java","18","2","0.8","7"
"org.apache.coyote.http11.Http11Processor.flush() Http11Processor.java","18","0.1","0.5","113"
"com.sun.management.internal.GarbageCollectorExtImpl.createGCNotification(long, String, String, String, GcInfo) GarbageCollectorExtImpl.java","18","18","0.1","1"
"sun.nio.ch.SocketChannelImpl.write(ByteBuffer) SocketChannelImpl.java","18","0.1","16","184"
"org.apache.coyote.http11.Http11OutputBuffer.flush() Http11OutputBuffer.java","18","0.1","0.5","113"
"org.apache.tomcat.util.net.NioEndpoint$NioSocketWrapper.doWrite(boolean, ByteBuffer) NioEndpoint.java","17","0.1","1","151"
"org.apache.coyote.http11.filters.ChunkedOutputFilter.flush() ChunkedOutputFilter.java","17","0.1","0.5","113"
"org.apache.coyote.http11.Http11OutputBuffer$SocketOutputBuffer.flush() Http11OutputBuffer.java","17","0.1","1","113"
"org.apache.coyote.http11.Http11OutputBuffer.sendHeader(MessageBytes, MessageBytes) Http11OutputBuffer.java","17","< 0.1","1","185"
"java.util.concurrent.locks.LockSupport.parkNanos(Object, long) LockSupport.java","16","2","16","7"
"org.apache.coyote.http11.Http11OutputBuffer.write(MessageBytes) Http11OutputBuffer.java","15","< 0.1","2","370"
"org.apache.tomcat.util.buf.MessageBytes.equalsIgnoreCase(String) MessageBytes.java","15","< 0.1","10","2584"
"com.sun.management.internal.GarbageCollectionNotifInfoCompositeData.toCompositeData(GarbageCollectionNotificationInfo) GarbageCollectionNotifInfoCompositeData.java","14","14","< 0.1","1"
"com.sun.management.internal.GarbageCollectionNotifInfoCompositeData.getCompositeData() GarbageCollectionNotifInfoCompositeData.java","14","14","< 0.1","1"
"org.springframework.web.method.annotation.RequestParamMethodArgumentResolver.resolveName(String, MethodParameter, NativeWebRequest) RequestParamMethodArgumentResolver.java","14","0.3","0.8","37"
"com.sun.management.internal.GcInfoCompositeData.toCompositeData(GcInfo) GcInfoCompositeData.java","14","14","< 0.1","1"
"com.sun.management.internal.GcInfoCompositeData.getCompositeData() GcInfoCompositeData.java","14","14","< 0.1","1"
"sun.management.MappedMXBeanType$MapMXBeanType.toOpenTypeData(Object) MappedMXBeanType.java","13","6","0.8","2"
"org.apache.tomcat.util.buf.MessageBytes.recycle() MessageBytes.java","13","< 0.1","8","1900"
"org.springframework.web.servlet.mvc.method.RequestMappingInfo.getMatchingCondition(HttpServletRequest) RequestMappingInfo.java","12","0.3","0.9","37"
"org.apache.catalina.connector.Response.finishResponse() Response.java","12","0.3","0.2","38"
"org.apache.catalina.connector.OutputBuffer.close() OutputBuffer.java","12","0.3","1","38"
"org.apache.coyote.http11.Http11Processor.isConnectionToken(MimeHeaders, String) Http11Processor.java","12","0.1","1","112"
"org.apache.catalina.connector.RequestFacade.getAttribute(String) RequestFacade.java","11","< 0.1","5","1116"
"org.apache.tomcat.util.http.MimeHeaders.getValue(String) MimeHeaders.java","11","< 0.1","4","634"
"org.apache.tomcat.util.http.MimeHeaders.values(String) MimeHeaders.java","10","< 0.1","1","298"
"org.apache.tomcat.util.http.ValuesEnumerator.findNext() MimeHeaders.java","10","< 0.1","4","411"
"org.apache.coyote.http11.Http11InputBuffer.parseRequestLine(boolean, int, int) Http11InputBuffer.java","10","0.1","1","76"
"org.apache.tomcat.util.http.parser.TokenList.parseTokenList(Enumeration, Collection) TokenList.java","10","< 0.1","1","113"
"org.springframework.http.server.ServletServerHttpResponse.getBody() ServletServerHttpResponse.java","10","0.1","0.5","75"
