"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"org.apache.derby.impl.drda.DRDAConnThread.processCommands() DRDAConnThread.java","285358","238","0","1196"
"org.apache.derby.impl.drda.DRDAConnThread.run() DRDAConnThread.java","285358","57071","0","5"
"org.apache.derby.impl.drda.DRDAConnThread.writeQRYDTA(DRDAStatement) DRDAConnThread.java","247067","1042","1950","237"
"org.apache.derby.impl.drda.DRDAConnThread.writeFDODTA(DRDAStatement) DRDAConnThread.java","244252","0.8","20537","291382"
"org.apache.derby.impl.jdbc.EmbedResultSet.next() EmbedResultSet.java","115793","0.3","1273","291136"
"org.apache.derby.impl.jdbc.EmbedResultSet.movePosition(int, int, String) EmbedResultSet.java","114519","0.3","8326","291136"
"org.apache.derby.impl.sql.execute.BasicNoPutResultSetImpl.getNextRow() BasicNoPutResultSetImpl.java","76453","0.2","2554","291135"
"org.apache.derby.impl.sql.execute.BulkTableScanResultSet.getNextRowCore() BulkTableScanResultSet.java","66318","0.2","5140","291135"
"org.apache.derby.impl.sql.execute.BulkTableScanResultSet.reloadArray() BulkTableScanResultSet.java","47928","2","81","18362"
"org.apache.derby.impl.store.access.heap.HeapScan.fetchNextGroup(DataValueDescriptor[][], RowLocation[]) HeapScan.java","47846","2","83","18362"
"org.apache.derby.impl.store.access.conglomerate.GenericScanController.fetchRows(DataValueDescriptor[][], RowLocation[], BackingStoreHashtable, long, int[]) GenericScanController.java","47763","2","2075","18362"
"org.apache.derby.impl.drda.DRDAConnThread.writeFdocaVal(int, Object, int, int, int, boolean, DRDAStatement, boolean) DRDAConnThread.java","38715","0.1","1935","294953"
"org.apache.derby.impl.drda.DDMWriter.writeLDString(String, int, DRDAStatement, boolean) DDMWriter.java","33701","0.1","2560","292469"
"org.apache.derby.impl.drda.DRDAConnThread.parseEXCSQLIMM() DRDAConnThread.java","29381","83","0","353"
"org.apache.derby.impl.jdbc.EmbedStatement.execute(String, boolean, boolean, int, int[], String[]) EmbedStatement.java","29218","82","0","353"
"org.apache.derby.impl.jdbc.EmbedStatement.executeLargeUpdate(String) EmbedStatement.java","29218","82","0","353"
"org.apache.derby.impl.store.raw.data.CachedPage.fetchFromSlot(RecordHandle, int, Object[], FetchDescriptor, boolean) CachedPage.java","29049","< 0.1","1321","305469"
"org.apache.derby.impl.drda.DDMWriter.writeString(String) DDMWriter.java","28638","< 0.1","9626","292715"
"org.apache.derby.impl.store.raw.data.BasePage.fetchFromSlot(RecordHandle, int, Object[], FetchDescriptor, boolean) BasePage.java","27727","< 0.1","2680","305469"
"org.apache.derby.impl.store.raw.data.StoredPage.restoreRecordFromSlot(int, Object[], FetchDescriptor, RecordHandle, StoredRecordHeader, boolean) StoredPage.java","23704","< 0.1","3331","305469"
"org.apache.derby.impl.store.raw.data.StoredPage.readRecordFromArray(Object[], int, int[], int[], ArrayInputStream, StoredRecordHeader, RecordHandle) StoredPage.java","18383","< 0.1","4781","305469"
"org.apache.derby.impl.jdbc.EmbedStatement.executeStatement(Activation, boolean, boolean) EmbedStatement.java","17705","24","6","719"
