"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"java.lang.Thread.run() Thread.java","77","25","0","3"
"sun.java2d.opengl.OGLRenderQueue$QueueFlusher.run() OGLRenderQueue.java","72","72","30","1"
"sun.java2d.pipe.RenderQueue.tryLock() RenderQueue.java","23","< 0.1","10","588"
"sun.java2d.pipe.RenderQueue.unlock() RenderQueue.java","19","< 0.1","4","588"
"sun.awt.SunToolkit.awtUnlock() SunToolkit.java","14","< 0.1","4","588"
"sun.awt.SunToolkit.awtTryLock() SunToolkit.java","12","< 0.1","5","588"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.release(int) AbstractQueuedSynchronizer.java","10","< 0.1","6","589"
"java.util.concurrent.locks.ReentrantLock$Sync.tryLock() ReentrantLock.java","7","< 0.1","5","588"
"org.h2.server.web.WebThread.run() WebThread.java","4","4","0","1"
"org.h2.util.IOUtils.closeSilently(AutoCloseable) IOUtils.java","2","1","< 0.1","2"
"java.net.Socket.close() Socket.java","2","0.8","2","3"
"java.net.Socket$SocketOutputStream.close() Socket.java","2","2","< 0.1","1"
"java.util.concurrent.locks.ReentrantLock$Sync.tryRelease(int) ReentrantLock.java","2","< 0.1","2","589"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.compareAndSetState(int, int) AbstractQueuedSynchronizer.java","2","< 0.1","2","588"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.signalNext(AbstractQueuedSynchronizer$Node) AbstractQueuedSynchronizer.java","1","< 0.1","1","589"
"org.h2.server.web.WebThread.process() WebThread.java","1","1","0","1"
"org.h2.server.web.WebThread.readHeaderLine() WebThread.java","1","1","0","1"
"java.net.Socket$SocketInputStream.read(byte[], int, int) Socket.java","1","1","< 0.1","1"
"sun.nio.ch.NioSocketImpl$1.read(byte[], int, int) NioSocketImpl.java","1","1","1","1"
"jdk.internal.misc.InnocuousThread.run() InnocuousThread.java","0.7","0.7","0","1"
"jdk.internal.ref.CleanerImpl.run() CleanerImpl.java","0.7","0.7","< 0.1","1"
"jdk.internal.ref.PhantomCleanable.isListEmpty() PhantomCleanable.java","0.6","0.6","0.6","1"
"java.lang.Thread.exit() Thread.java","0.2","0.2","< 0.1","1"
