"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"java.lang.Thread.run() Thread.java","25606","984","0","26"
"kafka.server.KafkaRequestHandler.run() KafkaRequestHandler.scala","13318","1664","59","8"
"kafka.server.KafkaApis.handle(RequestChannel$Request, RequestLocal) KafkaApis.scala","12706","11","36","1142"
"kafka.server.KafkaApis.handleProduceRequest(RequestChannel$Request, RequestLocal) KafkaApis.scala","11940","10","94","1142"
"kafka.network.Processor.run() SocketServer.scala","11574","3858","90","3"
"kafka.server.ReplicaManager.appendRecords(long, short, boolean, AppendOrigin, Map, Function1, Option, Function1, RequestLocal) ReplicaManager.scala","10398","9","43","1142"
"scala.collection.mutable.HashMap.map(Function1) HashMap.scala","7715","1","21","4568"
"scala.collection.StrictOptimizedMapOps.map$(StrictOptimizedMapOps, Function1) StrictOptimizedMapOps.scala","7693","1","21","4568"
"scala.collection.StrictOptimizedMapOps.map(Function1) StrictOptimizedMapOps.scala","7672","1","104","4568"
"kafka.server.ReplicaManager.appendToLocalLog(boolean, AppendOrigin, Map, short, RequestLocal) ReplicaManager.scala","7088","6","12","1142"
"kafka.server.ReplicaManager.$anonfun$appendToLocalLog$6(ReplicaManager, boolean, AppendOrigin, short, RequestLocal, boolean, Tuple2) ReplicaManager.scala","6843","5","78","1142"
"kafka.cluster.Partition.appendRecordsToLeader(MemoryRecords, AppendOrigin, int, RequestLocal) Partition.scala","6280","5","72","1142"
"kafka.cluster.Partition.$anonfun$appendRecordsToLeader$1(Partition, int, MemoryRecords, AppendOrigin, RequestLocal) Partition.scala","6087","5","32","1142"
"kafka.log.UnifiedLog.appendAsLeader(MemoryRecords, int, AppendOrigin, MetadataVersion, RequestLocal) UnifiedLog.scala","5554","4","10","1142"
"kafka.log.UnifiedLog.append(MemoryRecords, AppendOrigin, MetadataVersion, boolean, int, Option, boolean) UnifiedLog.scala","5535","4","190","1142"
"kafka.network.Processor.processCompletedSends() SocketServer.scala","5073","1","27","3826"
"kafka.network.Processor.$anonfun$processCompletedSends$1(Processor, NetworkSend) SocketServer.scala","5035","4","25","1142"
"kafka.network.Processor.updateRequestMetrics(RequestChannel$Response) SocketServer.scala","4755","4","15","1142"
"kafka.network.RequestChannel$Request.updateRequestMetrics(long, RequestChannel$Response) RequestChannel.scala","4684","4","57","1142"
"scala.collection.immutable.List.foreach(Function1) List.scala","4280","1","13","2309"
"kafka.network.RequestChannel$Request.$anonfun$updateRequestMetrics$1$adapted(RequestChannel$Request, double, double, double, double, double, double, double, String) RequestChannel.scala","4241","3","5","1142"
"kafka.network.RequestChannel$Request.$anonfun$updateRequestMetrics$1(RequestChannel$Request, double, double, double, double, double, double, double, String) RequestChannel.scala","4235","3","55","1142"
"kafka.network.Processor.poll() SocketServer.scala","4186","1","31","3826"
"org.apache.kafka.common.network.Selector.poll(long) Selector.java","4041","1","162","3832"
"com.yammer.metrics.core.Histogram.update(long) Histogram.java","4039","0.3","178","11420"
"com.yammer.metrics.stats.ExponentiallyDecayingSample.update(long) ExponentiallyDecayingSample.java","3486","0.3","75","11420"
"com.yammer.metrics.stats.ExponentiallyDecayingSample.update(long, long) ExponentiallyDecayingSample.java","3283","0.2","242","11420"
"kafka.log.LogValidator$.validateMessagesAndAssignOffsets(MemoryRecords, TopicPartition, LongRef, Time, long, CompressionCodec, CompressionCodec, boolean, byte, TimestampType, long, int, AppendOrigin, MetadataVersion, BrokerTopicStats, RequestLocal) LogValidator.scala","2545","2","10","1142"
"kafka.log.LogValidator$.convertAndAssignOffsetsNonCompressed(MemoryRecords, TopicPartition, LongRef, boolean, Time, long, TimestampType, long, byte, int, AppendOrigin, BrokerTopicStats) LogValidator.scala","2416","2","64","1142"
"kafka.server.KafkaApis.$anonfun$handleProduceRequest$9$adapted(KafkaApis, Map, Map, Map, RequestChannel$Request, ProduceRequest, Map) KafkaApis.scala","2276","1","6","1142"
"kafka.server.KafkaApis.$anonfun$handleProduceRequest$9(KafkaApis, Map, Map, Map, RequestChannel$Request, ProduceRequest, Map) KafkaApis.scala","2270","1","5","1142"
"kafka.server.KafkaApis.sendResponseCallback$2(Map, Map, Map, Map, RequestChannel$Request, ProduceRequest) KafkaApis.scala","2264","1","46","1142"
"org.apache.kafka.common.network.Selector.pollSelectionKeys(Set, boolean, long) Selector.java","2042","0.4","165","4568"
"java.util.concurrent.ConcurrentSkipListMap.doPut(Object, Object, boolean) ConcurrentSkipListMap.java","1716","0.1","594","11420"
"kafka.network.Processor.processCompletedReceives() SocketServer.scala","1443","0.3","50","3826"
"java.util.concurrent.ConcurrentSkipListMap.put(Object, Object) ConcurrentSkipListMap.java","1420","0.1","41","9290"
"org.apache.kafka.common.metrics.Sensor.record(double, long, boolean) Sensor.java","1398","< 0.1","117","14516"
"java.util.LinkedHashMap$LinkedValues.forEach(Consumer) LinkedHashMap.java","1371","0.3","15","3826"
"kafka.network.Processor.$anonfun$processCompletedReceives$1(Processor, NetworkReceive) SocketServer.scala","1356","1","59","1142"
"scala.Option.foreach(Function1) Option.scala","1287","0.1","74","12604"
"kafka.log.LogValidator$.$anonfun$convertAndAssignOffsetsNonCompressed$1(TopicPartition, RecordBatch, AppendOrigin, byte, BrokerTopicStats, long, TimestampType, long, boolean, MemoryRecordsBuilder, LongRef, MutableRecordBatch) LogValidator.scala","1214","1","35","1142"
"org.apache.kafka.common.metrics.Sensor.recordInternal(double, long, boolean) Sensor.java","1199","< 0.1","248","14516"
"scala.collection.AbstractIterable.foreach(Function1) Iterable.scala","1040","0.2","16","3481"
"scala.collection.IterableOnceOps.foreach$(IterableOnceOps, Function1) IterableOnce.scala","1027","0.2","17","3493"
"kafka.network.RequestChannel.sendResponse(RequestChannel$Request, AbstractResponse, Option) RequestChannel.scala","1022","0.8","32","1142"
"scala.collection.IterableOnceOps.foreach(Function1) IterableOnce.scala","1010","0.2","35","3493"
"org.apache.kafka.common.network.Selector.attemptRead(KafkaChannel) Selector.java","994","0.8","25","1142"
"org.apache.kafka.common.utils.AbstractIterator.hasNext() AbstractIterator.java","931","< 0.1","126","33118"
"scala.collection.IterableOps$WithFilter.foreach(Function1) Iterable.scala","929","0.7","8","1163"
"kafka.utils.ShutdownableThread.run() ShutdownableThread.scala","911","56","30","16"
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject.awaitNanos(long) AbstractQueuedSynchronizer.java","827","0.1","352","4573"
"org.apache.kafka.common.utils.AbstractIterator.maybeComputeNext() AbstractIterator.java","818","< 0.1","97","20556"
"kafka.log.LocalLog.append(long, long, long, MemoryRecords) LocalLog.scala","772","0.6","12","1142"
"sun.nio.ch.SelectorImpl.select(long) SelectorImpl.java","719","0.1","22","4003"
"org.apache.kafka.common.network.Selector.select(long) Selector.java","717","0.1","22","3832"
"kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper.doWork() DelayedOperation.scala","712","0.2","18","2381"
"sun.nio.ch.SelectorImpl.lockAndDoSelect(Consumer, long) SelectorImpl.java","697","0.1","34","4003"
"kafka.server.DelayedOperationPurgatory.advanceClock(long) DelayedOperation.scala","693","0.2","28","2381"
"java.util.concurrent.DelayQueue.poll(long, TimeUnit) DelayQueue.java","684","0.2","52","2621"
"org.apache.kafka.common.metrics.stats.Meter.record(MetricConfig, double, long) Meter.java","681","< 0.1","141","26032"
"org.apache.kafka.common.network.KafkaChannel.read() KafkaChannel.java","679","0.5","13","1142"
"java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor$Worker) ThreadPoolExecutor.java","669","47","16","14"
"java.util.concurrent.ThreadPoolExecutor$Worker.run() ThreadPoolExecutor.java","669","47","0","14"
"org.apache.kafka.common.network.Selector.attemptWrite(SelectionKey, KafkaChannel, long) Selector.java","664","0.2","18","2284"
"org.apache.kafka.common.network.KafkaChannel.receive(NetworkReceive) KafkaChannel.java","659","0.5","8","1142"
"scala.collection.AbstractMap.$plus$plus(IterableOnce) Map.scala","652","0.1","15","3426"
"sun.nio.ch.KQueueSelectorImpl.doSelect(Consumer, long) KQueueSelectorImpl.java","651","0.1","123","4003"
"org.apache.kafka.common.network.NetworkReceive.readFrom(ScatteringByteChannel) NetworkReceive.java","651","0.5","20","1142"
"kafka.server.ReplicaManager.tryCompleteActions() ReplicaManager.scala","648","0.5","6","1141"
"kafka.server.ActionQueue.tryCompleteActions() ActionQueue.scala","642","0.5","14","1141"
"kafka.utils.timer.SystemTimer.advanceClock(long) Timer.scala","638","0.2","18","2381"
"scala.collection.MapOps.$plus$plus$(MapOps, IterableOnce) Map.scala","636","0.1","16","3426"
"kafka.network.RequestChannel$Request.<init>(int, RequestContext, long, MemoryPool, ByteBuffer, RequestChannel$Metrics, Option) RequestChannel.scala","633","0.5","31","1142"
"org.apache.kafka.common.network.PlaintextTransportLayer.read(ByteBuffer) PlaintextTransportLayer.java","627","0.2","15","2284"
"org.apache.kafka.common.network.Selector.write(KafkaChannel) Selector.java","622","0.5","21","1142"
"scala.collection.MapOps.$plus$plus(IterableOnce) Map.scala","620","0.1","16","3426"
"sun.nio.ch.SocketChannelImpl.read(ByteBuffer) SocketChannelImpl.java","615","0.2","83","2304"
"org.apache.kafka.common.record.RecordBatchIterator.makeNext() RecordBatchIterator.java","611","< 0.1","85","18272"
"scala.collection.mutable.HashMap.concat(IterableOnce) HashMap.scala","604","0.1","15","3426"
"kafka.log.LogValidator$.$anonfun$convertAndAssignOffsetsNonCompressed$3$adapted(MutableRecordBatch, TopicPartition, long, TimestampType, long, boolean, BrokerTopicStats, ArrayBuffer, MemoryRecordsBuilder, LongRef, Tuple2) LogValidator.scala","589","0.5","6","1142"
"scala.collection.StrictOptimizedMapOps.concat$(StrictOptimizedMapOps, IterableOnce) StrictOptimizedMapOps.scala","589","0.1","16","3426"
"kafka.log.LogValidator$.$anonfun$convertAndAssignOffsetsNonCompressed$3(MutableRecordBatch, TopicPartition, long, TimestampType, long, boolean, BrokerTopicStats, ArrayBuffer, MemoryRecordsBuilder, LongRef, Tuple2) LogValidator.scala","583","0.5","23","1142"
"scala.collection.StrictOptimizedMapOps.concat(IterableOnce) StrictOptimizedMapOps.scala","573","0.1","39","3426"
"java.util.concurrent.ConcurrentSkipListMap.cpr(Comparator, Object, Object) ConcurrentSkipListMap.java","557","< 0.1","557","259833"
"kafka.server.ReplicaManager.$anonfun$appendRecords$5(ReplicaManager, Map) ReplicaManager.scala","550","0.4","7","1141"
"kafka.network.Processor.processNewResponses() SocketServer.scala","543","0.1","27","3826"
"scala.collection.mutable.HashMap.foreach(Function1) HashMap.scala","542","0.4","5","1141"
"org.apache.kafka.common.metrics.stats.Rate.record(MetricConfig, double, long) Rate.java","540","< 0.1","140","26032"
"scala.collection.mutable.HashMap$Node.foreach(Function1) HashMap.scala","537","0.4","9","1141"
"org.apache.kafka.common.metrics.stats.SampledStat.record(MetricConfig, double, long) SampledStat.java","536","< 0.1","318","35988"
"kafka.log.UnifiedLog.analyzeAndValidateRecords(MemoryRecords, AppendOrigin, boolean, int) UnifiedLog.scala","534","0.4","70","1142"
"org.apache.kafka.common.record.RecordBatchIterator.makeNext() RecordBatchIterator.java","525","< 0.1","85","18272"
