"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"java.lang.Thread.run() Thread.java","19381","1292","0","15"
"org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run() TaskThread.java","18449","1537","0","12"
"org.apache.tomcat.util.threads.ThreadPoolExecutor.runWorker(ThreadPoolExecutor$Worker) ThreadPoolExecutor.java","18327","1832","19","10"
"org.apache.tomcat.util.threads.ThreadPoolExecutor$Worker.run() ThreadPoolExecutor.java","18327","1832","0","10"
"org.apache.tomcat.util.net.SocketProcessorBase.run() SocketProcessorBase.java","18043","22","12","801"
"org.apache.tomcat.util.net.NioEndpoint$SocketProcessor.doRun() NioEndpoint.java","18007","22","6","801"
"org.apache.coyote.AbstractProtocol$ConnectionHandler.process(SocketWrapperBase, SocketEvent) AbstractProtocol.java","17987","22","34","801"
"org.apache.coyote.AbstractProcessorLight.process(SocketWrapperBase, SocketEvent) AbstractProcessorLight.java","17642","22","14","801"
"org.apache.coyote.http11.Http11Processor.service(SocketWrapperBase) Http11Processor.java","17598","21","81","801"
"org.apache.catalina.connector.CoyoteAdapter.service(Request, Response) CoyoteAdapter.java","15081","18","43","801"
"org.apache.catalina.core.StandardEngineValve.invoke(Request, Response) StandardEngineValve.java","14005","17","11","801"
"org.apache.catalina.valves.ErrorReportValve.invoke(Request, Response) ErrorReportValve.java","13987","17","8","801"
"org.apache.catalina.core.StandardHostValve.invoke(Request, Response) StandardHostValve.java","13969","17","40","801"
"org.apache.catalina.authenticator.AuthenticatorBase.invoke(Request, Response) AuthenticatorBase.java","13802","17","20","801"
"org.apache.catalina.core.StandardContextValve.invoke(Request, Response) StandardContextValve.java","13532","16","20","801"
"org.apache.catalina.core.StandardWrapperValve.invoke(Request, Response) StandardWrapperValve.java","13473","16","9","801"
"org.apache.catalina.core.ApplicationFilterChain.doFilter(ServletRequest, ServletResponse) ApplicationFilterChain.java","13246","3","14","4005"
"org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ServletRequest, ServletResponse) ApplicationFilterChain.java","13246","3","29","4005"
"org.springframework.web.filter.OncePerRequestFilter.doFilter(ServletRequest, ServletResponse, FilterChain) OncePerRequestFilter.java","13237","5","137","2403"
"org.springframework.web.filter.CharacterEncodingFilter.doFilterInternal(HttpServletRequest, HttpServletResponse, FilterChain) CharacterEncodingFilter.java","12819","16","6","801"
"org.springframework.web.filter.FormContentFilter.doFilterInternal(HttpServletRequest, HttpServletResponse, FilterChain) FormContentFilter.java","12566","15","8","801"
"org.springframework.web.filter.RequestContextFilter.doFilterInternal(HttpServletRequest, HttpServletResponse, FilterChain) RequestContextFilter.java","12146","15","14","801"
"org.apache.tomcat.websocket.server.WsFilter.doFilter(ServletRequest, ServletResponse, FilterChain) WsFilter.java","11804","14","15","801"
"jakarta.servlet.http.HttpServlet.service(ServletRequest, ServletResponse) HttpServlet.java","11687","14","4","801"
"org.springframework.web.servlet.FrameworkServlet.service(HttpServletRequest, HttpServletResponse) FrameworkServlet.java","11682","14","22","801"
"jakarta.servlet.http.HttpServlet.service(HttpServletRequest, HttpServletResponse) HttpServlet.java","11516","14","7","801"
"org.springframework.web.servlet.FrameworkServlet.doGet(HttpServletRequest, HttpServletResponse) FrameworkServlet.java","11500","14","4","801"
"org.springframework.web.servlet.FrameworkServlet.processRequest(HttpServletRequest, HttpServletResponse) FrameworkServlet.java","11496","14","33","801"
"org.springframework.web.servlet.DispatcherServlet.doService(HttpServletRequest, HttpServletResponse) DispatcherServlet.java","10935","13","41","801"
"org.springframework.web.servlet.DispatcherServlet.doDispatch(HttpServletRequest, HttpServletResponse) DispatcherServlet.java","10329","12","40","801"
"org.springframework.web.servlet.mvc.method.AbstractHandlerMethodAdapter.handle(HttpServletRequest, HttpServletResponse, Object) AbstractHandlerMethodAdapter.java","8787","10","4","801"
"org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.handleInternal(HttpServletRequest, HttpServletResponse, HandlerMethod) RequestMappingHandlerAdapter.java","8783","10","16","801"
"org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.invokeHandlerMethod(HttpServletRequest, HttpServletResponse, HandlerMethod) RequestMappingHandlerAdapter.java","8633","10","45","801"
"org.springframework.web.servlet.mvc.method.annotation.ServletInvocableHandlerMethod.invokeAndHandle(ServletWebRequest, ModelAndViewContainer, Object[]) ServletInvocableHandlerMethod.java","8164","10","16","801"
"org.springframework.web.method.support.HandlerMethodReturnValueHandlerComposite.handleReturnValue(Object, MethodParameter, ModelAndViewContainer, NativeWebRequest) HandlerMethodReturnValueHandlerComposite.java","6971","8","7","801"
"org.springframework.web.servlet.mvc.method.annotation.RequestResponseBodyMethodProcessor.handleReturnValue(Object, MethodParameter, ModelAndViewContainer, NativeWebRequest) RequestResponseBodyMethodProcessor.java","5818","7","9","801"
"org.springframework.web.servlet.mvc.method.annotation.AbstractMessageConverterMethodProcessor.writeWithMessageConverters(Object, MethodParameter, ServletServerHttpRequest, ServletServerHttpResponse) AbstractMessageConverterMethodProcessor.java","5703","7","80","801"
"org.springframework.http.converter.AbstractGenericHttpMessageConverter.write(Object, Type, MediaType, HttpOutputMessage) AbstractGenericHttpMessageConverter.java","3694","4","13","801"
"org.springframework.http.converter.json.AbstractJackson2HttpMessageConverter.writeInternal(Object, Type, HttpOutputMessage) AbstractJackson2HttpMessageConverter.java","3046","3","45","801"
"org.apache.coyote.Response.action(ActionCode, Object) Response.java","2096","0.3","27","5607"
"org.apache.coyote.AbstractProcessor.action(ActionCode, Object) AbstractProcessor.java","2082","0.1","50","10413"
"org.apache.catalina.connector.CoyoteOutputStream.flush() CoyoteOutputStream.java","1970","0.8","16","2403"
"org.apache.catalina.connector.OutputBuffer.flush() OutputBuffer.java","1936","0.8","11","2403"
"org.apache.catalina.connector.OutputBuffer.doFlush(boolean) OutputBuffer.java","1927","0.6","18","3204"
"com.fasterxml.jackson.core.json.UTF8JsonGenerator.flush() UTF8JsonGenerator.java","1819","1","16","1602"
"com.fasterxml.jackson.databind.ObjectWriter.writeValue(JsonGenerator, Object) ObjectWriter.java","1816","2","18","801"
"org.springframework.core.annotation.AnnotatedElementUtils.hasAnnotation(AnnotatedElement, Class) AnnotatedElementUtils.java","1202","0.5","29","2403"
"org.apache.tomcat.util.http.parser.TokenList.parseTokenList(Enumeration, Collection) TokenList.java","1155","0.4","27","2395"
"org.springframework.web.servlet.DispatcherServlet.getHandler(HttpServletRequest) DispatcherServlet.java","1147","1","10","801"
"org.springframework.web.method.support.HandlerMethodReturnValueHandlerComposite.selectHandler(Object, MethodParameter) HandlerMethodReturnValueHandlerComposite.java","1146","1","58","801"
"org.springframework.web.servlet.handler.AbstractHandlerMapping.getHandler(HttpServletRequest) AbstractHandlerMapping.java","1130","1","19","801"
"org.springframework.web.method.support.InvocableHandlerMethod.invokeForRequest(NativeWebRequest, ModelAndViewContainer, Object[]) InvocableHandlerMethod.java","1125","1","9","801"
"org.apache.coyote.Response.sendHeaders() Response.java","1095","1","5","801"
"org.apache.coyote.http11.Http11Processor.prepareResponse() Http11Processor.java","1079","1","93","801"
"org.springframework.web.servlet.mvc.method.RequestMappingInfoHandlerMapping.getHandlerInternal(HttpServletRequest) RequestMappingInfoHandlerMapping.java","989","1","4","801"
"org.springframework.web.servlet.mvc.method.RequestMappingInfoHandlerMapping.getHandlerInternal(HttpServletRequest) RequestMappingInfoHandlerMapping.java","985","1","9","801"
"org.springframework.web.method.support.InvocableHandlerMethod.getMethodArgumentValues(NativeWebRequest, ModelAndViewContainer, Object[]) InvocableHandlerMethod.java","962","1","10","801"
"org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.getHandlerInternal(HttpServletRequest) AbstractHandlerMethodMapping.java","959","1","14","801"
"org.springframework.web.method.support.HandlerMethodArgumentResolverComposite.resolveArgument(MethodParameter, ModelAndViewContainer, NativeWebRequest, WebDataBinderFactory) HandlerMethodArgumentResolverComposite.java","938","1","6","801"
"org.springframework.web.method.annotation.AbstractNamedValueMethodArgumentResolver.resolveArgument(MethodParameter, ModelAndViewContainer, NativeWebRequest, WebDataBinderFactory) AbstractNamedValueMethodArgumentResolver.java","925","1","25","801"
"org.apache.coyote.http11.Http11Processor.isConnectionToken(MimeHeaders, String) Http11Processor.java","920","0.3","22","2395"
"org.apache.tomcat.util.net.NioEndpoint$Poller.run() NioEndpoint.java","916","916","56","1"
"org.springframework.core.annotation.TypeMappedAnnotations.isPresent(Class) TypeMappedAnnotations.java","853","0.3","23","2403"
"org.springframework.web.method.HandlerMethod$HandlerMethodParameter.hasMethodAnnotation(Class) HandlerMethod.java","842","0.5","7","1602"
"org.apache.tomcat.util.net.SocketWrapperBase.flush(boolean) SocketWrapperBase.java","841","0.2","15","3204"
"org.springframework.web.method.HandlerMethod.hasMethodAnnotation(Class) HandlerMethod.java","835","0.5","7","1602"
"org.apache.tomcat.util.http.parser.TokenList.parseTokenList(Reader, Collection) TokenList.java","826","0.3","23","2395"
"org.apache.tomcat.util.net.SocketWrapperBase.flushBlocking() SocketWrapperBase.java","826","0.2","23","3204"
"org.springframework.core.annotation.TypeMappedAnnotations.scan(Object, AnnotationsProcessor) TypeMappedAnnotations.java","807","0.3","11","2403"
"org.springframework.core.annotation.AnnotationsScanner.scan(Object, AnnotatedElement, MergedAnnotations$SearchStrategy, Predicate, AnnotationsProcessor) AnnotationsScanner.java","795","0.3","11","2403"
"org.springframework.core.annotation.AnnotationsScanner.process(Object, AnnotatedElement, MergedAnnotations$SearchStrategy, Predicate, AnnotationsProcessor) AnnotationsScanner.java","784","0.3","12","2403"
"org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.lookupHandlerMethod(String, HttpServletRequest) AbstractHandlerMethodMapping.java","752","0.9","17","801"
"org.apache.coyote.http11.Http11Processor.prepareRequest() Http11Processor.java","745","0.9","29","801"
"org.apache.tomcat.util.net.SocketWrapperBase.doWrite(boolean) SocketWrapperBase.java","692","0.2","23","3204"
"org.apache.coyote.http11.Http11Processor.flush() Http11Processor.java","667","0.2","11","2403"
"org.apache.tomcat.util.http.parser.HttpParser.readToken(Reader) HttpParser.java","661","0.2","159","2395"
"org.apache.coyote.http11.Http11OutputBuffer.flush() Http11OutputBuffer.java","655","0.2","11","2403"
"org.apache.tomcat.util.net.NioEndpoint$NioSocketWrapper.doWrite(boolean, ByteBuffer) NioEndpoint.java","646","0.2","26","3204"
"org.apache.coyote.http11.filters.ChunkedOutputFilter.flush() ChunkedOutputFilter.java","644","0.2","11","2403"
"org.apache.coyote.http11.Http11OutputBuffer$SocketOutputBuffer.flush() Http11OutputBuffer.java","633","0.2","17","2403"
"org.apache.tomcat.util.net.NioChannel.write(ByteBuffer) NioChannel.java","612","0.1","23","3204"
"org.springframework.util.ConcurrentReferenceHashMap.get(Object) ConcurrentReferenceHashMap.java","598","< 0.1","75","11214"
"org.springframework.core.annotation.TypeMappedAnnotations$IsPresent.doWithAnnotations(Object, int, Object, Annotation[]) TypeMappedAnnotations.java","594","0.2","11","2403"
"org.springframework.core.annotation.TypeMappedAnnotations$IsPresent.doWithAnnotations(Object, int, Object, Annotation[]) TypeMappedAnnotations.java","583","0.2","97","2403"
