"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"java.lang.Thread.run() Thread.java","108426","9856","0","11"
"org.eclipse.jetty.util.thread.QueuedThreadPool$Runner.run() QueuedThreadPool.java","107576","13447","< 0.1","8"
"org.eclipse.jetty.util.thread.QueuedThreadPool$Runner.doRunJob(Runnable) QueuedThreadPool.java","107575","13446","< 0.1","8"
"org.eclipse.jetty.util.thread.QueuedThreadPool.runJob(Runnable) QueuedThreadPool.java","107575","13446","< 0.1","8"
"org.eclipse.jetty.util.thread.strategy.AdaptiveExecutionStrategy.tryProduce(boolean) AdaptiveExecutionStrategy.java","107556","977","0","110"
"org.eclipse.jetty.util.thread.strategy.AdaptiveExecutionStrategy.consumeTask(Runnable, AdaptiveExecutionStrategy$SubStrategy) AdaptiveExecutionStrategy.java","107369","994","0","108"
"org.eclipse.jetty.io.FillInterest.fillable() FillInterest.java","107362","994","0","108"
"org.eclipse.jetty.io.SelectableChannelEndPoint$1.run() SelectableChannelEndPoint.java","107362","994","0","108"
"org.eclipse.jetty.util.thread.strategy.AdaptiveExecutionStrategy.runTask(Runnable) AdaptiveExecutionStrategy.java","107362","994","0","108"
"org.eclipse.jetty.io.AbstractConnection$ReadCallback.succeeded() AbstractConnection.java","107360","994","0","108"
"org.eclipse.jetty.server.HttpConnection.onFillable() HttpConnection.java","107360","994","0","108"
"org.eclipse.jetty.server.HttpChannel.handle() HttpChannel.java","106899","999","0","107"
"org.eclipse.jetty.server.HttpChannel.dispatch(DispatcherType, HttpChannel$Dispatchable) HttpChannel.java","106720","997","0","107"
"org.eclipse.jetty.server.HttpChannel.lambda$handle$0() HttpChannel.java","106712","979","0","109"
"org.eclipse.jetty.server.Server.handle(HttpChannel) Server.java","106712","979","0","109"
"org.eclipse.jetty.server.handler.HandlerList.handle(String, Request, HttpServletRequest, HttpServletResponse) HandlerList.java","106710","978","0","109"
"org.eclipse.jetty.server.handler.HandlerWrapper.handle(String, Request, HttpServletRequest, HttpServletResponse) HandlerWrapper.java","106710","330","0.2","323"
"org.eclipse.jetty.server.handler.ContextHandlerCollection.handle(String, Request, HttpServletRequest, HttpServletResponse) ContextHandlerCollection.java","106710","978","0","109"
