"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"org.example.takes_example.TakesExampleApp.main(String[]) TakesExampleApp.java","4956","4956","0","1"
"org.takes.http.FtBasic.loop(ServerSocket) FtBasic.java","4956","45","0","110"
"org.takes.http.FtBasic.start(Exit) FtBasic.java","4956","4956","0","1"
"org.takes.http.BkWrap.accept(Socket) BkWrap.java","4873","88","0.3","55"
"org.takes.http.BkSafe.lambda$new$0(Back, Socket) BkSafe.java","4873","88","0.3","55"
"org.takes.http.BkBasic.accept(Socket) BkBasic.java","4873","88","2","55"
"org.takes.http.BkBasic.print(Request, OutputStream) BkBasic.java","2980","54","0.5","55"
"org.takes.facets.fork.TkFork.act(Request) TkFork.java","2328","42","0.4","55"
"org.takes.facets.fork.FkChain.route(Request) FkChain.java","2327","42","0.9","55"
"org.takes.facets.fork.FkRegex.route(Request) FkRegex.java","2323","42","1","55"
"org.takes.rq.RqHref$Base.href() RqHref.java","2206","20","6","110"
"org.takes.rq.RqHeaders$Base.header(CharSequence) RqHeaders.java","1830","8","7","220"
"org.takes.rq.RqHeaders$Base.map() RqHeaders.java","1718","3","105","440"
"org.takes.rq.RqLive.<init>(InputStream) RqLive.java","1715","31","0.5","55"
"org.takes.rq.RqLive.parse(InputStream) RqLive.java","1714","31","82","55"
"org.takes.rq.RqLive.data(InputStream, Opt, boolean) RqLive.java","1436","0.1","69","7535"
"java.net.Socket$SocketInputStream.read() Socket.java","1271","0.1","35","7810"
"java.net.Socket$SocketInputStream.read(byte[], int, int) Socket.java","1236","0.1","35","7810"
"sun.nio.ch.NioSocketImpl$1.read(byte[], int, int) NioSocketImpl.java","1200","0.1","68","7810"
"org.takes.facets.fork.FkRegex.lambda$new$0(Take, RqRegex) FkRegex.java","1150","20","0.2","55"
"org.example.takes_example.TakesExampleApp$JsonResponse.act(Request) TakesExampleApp.java","1149","20","1","55"
"sun.nio.ch.NioSocketImpl.read(byte[], int, int) NioSocketImpl.java","1113","0.1","73","7810"
"org.takes.rq.RqHref$Smart.single(CharSequence) RqHref.java","1056","19","0.8","55"
"org.takes.rq.RqHref$Smart.href() RqHref.java","1037","18","0.2","55"
"sun.nio.ch.NioSocketImpl.implRead(byte[], int, int) NioSocketImpl.java","859","0.1","72","7810"
"sun.nio.ch.NioSocketImpl.tryRead(FileDescriptor, byte[], int, int) NioSocketImpl.java","680","< 0.1","129","7810"
"org.takes.rs.RsPrint.print(OutputStream) RsPrint.java","651","11","0.3","55"
"org.takes.rs.RsPrint.printHead(OutputStream) RsPrint.java","643","11","11","55"
"org.cactoos.text.TextEnvelope.asString() TextEnvelope.java","605","< 0.1","201","49830"
"org.takes.rq.RqWrap.head() RqWrap.java","572","0.2","11","2640"
"org.takes.rq.RequestOf.head() RequestOf.java","562","0.4","4","1320"
"org.takes.rq.RqWithHeaders.lambda$new$0(Request, Iterable) RqWithHeaders.java","559","0.8","54","660"
"org.cactoos.text.UncheckedText.asString() UncheckedText.java","522","< 0.1","40","9790"
"org.cactoos.scalar.IoChecked.value() IoChecked.java","502","0.1","29","3960"
"org.cactoos.scalar.Checked.value() Checked.java","483","0.1","15","3960"
"org.cactoos.text.TextOfScalar.asString() TextOfScalar.java","482","< 0.1","96","24090"
"org.cactoos.iterator.Joined.hasNext() Joined.java","449","0.3","9","1265"
"org.cactoos.text.Mapped.lambda$new$0(Func, Text) Mapped.java","435","< 0.1","63","13365"
"org.cactoos.iterator.Filtered.hasNext() Filtered.java","422","0.2","11","1650"
"org.cactoos.text.Mapped.<init>(Func, Text) Mapped.java","410","< 0.1","110","13640"
"org.cactoos.scalar.Unchecked.value() Unchecked.java","402","0.1","17","3245"
"org.cactoos.text.Trimmed.<init>(Text) Trimmed.java","385","< 0.1","74","9020"
"org.cactoos.text.TextOf.<init>(String) TextOf.java","301","< 0.1","26","6490"
"java.util.Formatter.format(String, Object[]) Formatter.java","299","0.3","3","935"
"java.util.Formatter.format(Locale, String, Object[]) Formatter.java","295","0.3","12","935"
"org.cactoos.text.TextOf.<init>(CharSequence, Charset) TextOf.java","275","< 0.1","39","6490"
"sun.nio.ch.Util.getTemporaryDirectBuffer(int) Util.java","272","< 0.1","55","7920"
"org.takes.facets.fork.FkRegex$RqMatcher.head() FkRegex.java","269","0.8","1","330"
"org.takes.rq.RqRequestLine$Base.uri() RqRequestLine.java","258","2","0.5","110"
"org.takes.rq.RqRequestLine$Base.token(RqRequestLine$Base$Token) RqRequestLine.java","258","2","1","110"
"java.util.Formatter$FormatSpecifier.print(Object, Locale) Formatter.java","248","0.1","7","1705"
"org.cactoos.text.TextOf.<init>(Bytes, Charset) TextOf.java","242","< 0.1","88","11000"
"org.cactoos.iterator.Filtered.lambda$new$0(Func, Object) Filtered.java","236","0.6","1","385"
"java.lang.invoke.Invokers$Holder.linkToTargetMethod(Object, Object, Object) Invokers$Holder","232","< 0.1","152","38390"
"org.takes.rs.RsWithoutHeader.lambda$new$0(CharSequence, String) RsWithoutHeader.java","226","0.6","5","330"
"org.cactoos.text.TextOf.<init>(CharSequence) TextOf.java","213","< 0.1","26","4290"
"org.takes.rq.RqRequestLine$Base.line() RqRequestLine.java","203","1","1","110"
"sun.nio.ch.Util$BufferCache.get(int) Util.java","198","< 0.1","73","7920"
"org.cactoos.text.Lowered.<init>(Text) Lowered.java","197","< 0.1","15","3960"
"java.util.Formatter$FormatSpecifier.printInteger(Object, Locale) Formatter.java","193","0.7","1","275"
"org.cactoos.text.TextOf.<init>(Scalar) TextOf.java","190","< 0.1","82","13640"
"java.util.Formatter$FormatSpecifier.print(long, Locale) Formatter.java","190","0.6","5","275"
"org.cactoos.text.Lowered.<init>(Text, Locale) Lowered.java","182","< 0.1","32","3960"
"java.util.Formatter$FormatSpecifier.localizedMagnitude(StringBuilder, CharSequence, int, Formatter$Flags, int, Locale) Formatter.java","180","0.6","2","275"
"java.util.Formatter$FormatSpecifier.getZero(Locale) Formatter.java","177","0.6","2","275"
"java.util.Formatter.zero() Formatter.java","172","0.6","1","275"
"java.text.DecimalFormatSymbols.getInstance(Locale) DecimalFormatSymbols.java","168","0.7","2","220"
"org.cactoos.text.FormattedText.<init>(String, Object[]) FormattedText.java","167","0.2","4","660"
"sun.util.locale.provider.DecimalFormatSymbolsProviderImpl.getInstance(Locale) DecimalFormatSymbolsProviderImpl.java","163","0.7","1","220"
"java.text.DecimalFormatSymbols.<init>(Locale) DecimalFormatSymbols.java","162","0.7","1","220"
"java.text.DecimalFormatSymbols.initialize(Locale) DecimalFormatSymbols.java","161","0.7","5","220"
"java.net.Socket$SocketInputStream.available() Socket.java","158","< 0.1","33","7315"
"org.cactoos.bytes.BytesOf.<init>(CharSequence, Charset) BytesOf.java","152","< 0.1","65","10835"
"org.cactoos.text.TextOf.<init>(Text) TextOf.java","146","< 0.1","98","24640"
