"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"java.lang.Thread.run() Thread.java","16569","1183","0","14"
"org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run() TaskThread.java","15565","1297","0","12"
"org.apache.tomcat.util.threads.ThreadPoolExecutor.runWorker(ThreadPoolExecutor$Worker) ThreadPoolExecutor.java","15350","1535","24","10"
"org.apache.tomcat.util.threads.ThreadPoolExecutor$Worker.run() ThreadPoolExecutor.java","15350","1535","0","10"
"org.apache.tomcat.util.net.SocketProcessorBase.run() SocketProcessorBase.java","15033","17","15","868"
"org.apache.tomcat.util.net.NioEndpoint$SocketProcessor.doRun() NioEndpoint.java","14989","17","7","868"
"org.apache.coyote.AbstractProtocol$ConnectionHandler.process(SocketWrapperBase, SocketEvent) AbstractProtocol.java","14978","17","42","868"
"org.apache.coyote.AbstractProcessorLight.process(SocketWrapperBase, SocketEvent) AbstractProcessorLight.java","14605","16","17","868"
"org.apache.coyote.http11.Http11Processor.service(SocketWrapperBase) Http11Processor.java","14555","16","93","868"
"org.apache.catalina.connector.CoyoteAdapter.service(Request, Response) CoyoteAdapter.java","11369","13","45","868"
"org.apache.catalina.core.StandardEngineValve.invoke(Request, Response) StandardEngineValve.java","8123","9","13","868"
"org.apache.catalina.valves.AbstractAccessLogValve.invoke(Request, Response) AbstractAccessLogValve.java","8102","9","8","868"
"org.apache.catalina.valves.ErrorReportValve.invoke(Request, Response) ErrorReportValve.java","8055","9","17","868"
"org.apache.catalina.core.StandardHostValve.invoke(Request, Response) StandardHostValve.java","8020","9","45","868"
"org.apache.catalina.valves.RemoteAddrValve.invoke(Request, Response) RemoteAddrValve.java","7810","8","10","868"
"org.apache.catalina.valves.RequestFilterValve.process(String, Request, Response) RequestFilterValve.java","7785","8","8","868"
"org.apache.catalina.authenticator.AuthenticatorBase.invoke(Request, Response) AuthenticatorBase.java","7676","8","29","868"
"org.apache.catalina.core.StandardContextValve.invoke(Request, Response) StandardContextValve.java","7032","8","27","868"
"org.apache.catalina.core.StandardWrapperValve.invoke(Request, Response) StandardWrapperValve.java","6963","8","30","868"
"org.apache.catalina.core.ApplicationFilterChain.doFilter(ServletRequest, ServletResponse) ApplicationFilterChain.java","6779","2","11","2604"
"org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ServletRequest, ServletResponse) ApplicationFilterChain.java","6776","2","26","2604"
"org.apache.catalina.filters.HttpHeaderSecurityFilter.doFilter(ServletRequest, ServletResponse, FilterChain) HttpHeaderSecurityFilter.java","6756","7","42","868"
"org.apache.tomcat.websocket.server.WsFilter.doFilter(ServletRequest, ServletResponse, FilterChain) WsFilter.java","6208","7","22","868"
"jakarta.servlet.http.HttpServlet.service(ServletRequest, ServletResponse) HttpServlet.java","5915","6","5","868"
"jakarta.servlet.http.HttpServlet.service(HttpServletRequest, HttpServletResponse) HttpServlet.java","5910","6","9","868"
"RequestInfoExample.doGet(HttpServletRequest, HttpServletResponse) RequestInfoExample.java","5886","6","134","868"
"org.apache.catalina.connector.CoyoteWriter.println(String) CoyoteWriter.java","4983","0.1","191","28644"
"org.apache.catalina.connector.CoyoteWriter.println() CoyoteWriter.java","2452","< 0.1","125","28644"
"org.apache.catalina.connector.CoyoteWriter.print(String) CoyoteWriter.java","2339","< 0.1","126","28644"
