"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"verification.half.Half.main(String[]) Half.java","505","505","213","1"
"java.lang.Thread.sleep(long) Thread.java (native)","221","< 0.1","221","5344"
"verification.half.Half$Discounted.<init>(int) Half.java","28","< 0.1","28","5344"
"verification.half.Half$Discounted.price() Half.java","21","< 0.1","21","5344"
"verification.half.Half.discounted(int) Half.java","20","< 0.1","20","5344"
"java.lang.Thread.run() Thread.java","0.1","0.1","0","1"
"jdk.internal.misc.InnocuousThread.run() InnocuousThread.java","0.1","0.1","0","1"
"jdk.internal.ref.CleanerImpl.run() CleanerImpl.java","0.1","0.1","< 0.1","1"
"jdk.internal.ref.PhantomCleanable.isListEmpty() PhantomCleanable.java","< 0.1","< 0.1","< 0.1","1"
"jdk.internal.misc.InnocuousThread.eraseThreadLocals() InnocuousThread.java","< 0.1","< 0.1","< 0.1","1"
