"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"verification.instances.InstanceOnly.main(String[]) InstanceOnly.java","665","665","271","1"
"java.lang.Thread.sleep(long) Thread.java (native)","245","< 0.1","245","5263"
"verification.instances.InstanceOnly$Discounted.price() InstanceOnly.java","69","< 0.1","69","10526"
"verification.instances.InstanceOnly$Discounted.<init>(InstanceOnly$Book) InstanceOnly.java","47","< 0.1","47","10526"
"verification.instances.InstanceOnly$Prime.<init>(int) InstanceOnly.java","31","< 0.1","31","5263"
"java.lang.Thread.run() Thread.java","< 0.1","< 0.1","0","1"
"jdk.internal.misc.InnocuousThread.run() InnocuousThread.java","< 0.1","< 0.1","0","1"
"jdk.internal.ref.CleanerImpl.run() CleanerImpl.java","< 0.1","< 0.1","< 0.1","1"
"jdk.internal.ref.PhantomCleanable.isListEmpty() PhantomCleanable.java","< 0.1","< 0.1","< 0.1","1"
"jdk.internal.misc.InnocuousThread.eraseThreadLocals() InnocuousThread.java","< 0.1","< 0.1","< 0.1","1"
