"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"java.lang.Thread.run() Thread.java","16590","5530","0","3"
"io.netty.channel.nio.NioEventLoop.run() NioEventLoop.java","16590","8295","38","2"
"io.netty.util.concurrent.FastThreadLocalRunnable.run() FastThreadLocalRunnable.java","16590","8295","0","2"
"io.netty.util.concurrent.SingleThreadEventExecutor$4.run() SingleThreadEventExecutor.java","16590","8295","0","2"
"io.netty.util.internal.ThreadExecutorMap$2.run() ThreadExecutorMap.java","16590","8295","0","2"
"io.netty.channel.nio.NioEventLoop.processSelectedKeys() NioEventLoop.java","16072","18","6","859"
"io.netty.channel.nio.NioEventLoop.processSelectedKeysOptimized() NioEventLoop.java","16066","18","10","859"
"io.netty.channel.nio.NioEventLoop.processSelectedKey(SelectionKey, AbstractNioChannel) NioEventLoop.java","16052","18","18","859"
"io.netty.channel.nio.AbstractNioByteChannel$NioByteUnsafe.read() AbstractNioByteChannel.java","15998","18","53","858"
"io.netty.channel.DefaultChannelPipeline.fireChannelRead(Object) DefaultChannelPipeline.java","12187","14","5","858"
"io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext, Object) AbstractChannelHandlerContext.java","12182","2","83","5146"
"io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(Object) AbstractChannelHandlerContext.java","12123","2","59","5146"
"io.netty.channel.DefaultChannelPipeline$HeadContext.channelRead(ChannelHandlerContext, Object) DefaultChannelPipeline.java","12106","14","5","858"
"io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(Object) AbstractChannelHandlerContext.java","12100","2","33","4288"
"io.netty.handler.codec.ByteToMessageDecoder.channelRead(ChannelHandlerContext, Object) ByteToMessageDecoder.java","11945","13","31","857"
"io.netty.handler.codec.ByteToMessageDecoder.fireChannelRead(ChannelHandlerContext, CodecOutputList, int) ByteToMessageDecoder.java","7217","8","12","858"
"io.netty.handler.codec.http.websocketx.extensions.WebSocketServerExtensionHandler.channelRead(ChannelHandlerContext, Object) WebSocketServerExtensionHandler.java","6954","4","9","1714"
"io.netty.channel.ChannelInboundHandlerAdapter.channelRead(ChannelHandlerContext, Object) ChannelInboundHandlerAdapter.java","6913","4","8","1714"
"io.netty.handler.codec.http.websocketx.extensions.WebSocketServerExtensionHandler.onHttpRequestChannelRead(ChannelHandlerContext, HttpRequest) WebSocketServerExtensionHandler.java","6754","7","11","857"
"io.vertx.core.net.impl.VertxHandler.channelRead(ChannelHandlerContext, Object) VertxHandler.java","6672","3","8","1714"
"io.vertx.core.net.impl.ConnectionBase.read(Object) ConnectionBase.java","6663","3","13","1714"
"io.vertx.core.http.impl.Http1xServerConnection.handleMessage(Object) Http1xServerConnection.java","6628","3","23","1714"
"io.vertx.core.impl.DuplicatedContext.emit(Object, Handler) DuplicatedContext.java","6357","7","5","857"
"io.vertx.core.impl.EventLoopContext.emit(ContextInternal, Object, Handler) EventLoopContext.java","6351","7","15","857"
"io.vertx.core.http.impl.Http1xServerRequestHandler.handle(Object) Http1xServerRequestHandler.java","6263","7","4","857"
"io.vertx.core.http.impl.Http1xServerRequestHandler.handle(HttpServerRequest) Http1xServerRequestHandler.java","6258","7","8","857"
"org.example.vertx_starter.MainVerticle.handle(HttpServerRequest) MainVerticle.java","6243","7","29","857"
"io.vertx.core.http.impl.Http1xServerResponse.end(String) Http1xServerResponse.java","5274","6","7","857"
"io.vertx.core.http.impl.Http1xServerResponse.end(Buffer) Http1xServerResponse.java","5003","5","10","857"
"io.vertx.core.http.impl.Http1xServerResponse.end(Buffer, PromiseInternal) Http1xServerResponse.java","4975","5","19","857"
"io.vertx.core.net.impl.ConnectionBase.writeToChannel(Object, FutureListener) ConnectionBase.java","4670","5","7","857"
"io.vertx.core.net.impl.ConnectionBase.writeToChannel(Object, ChannelPromise) ConnectionBase.java","4574","5","4","857"
"io.vertx.core.net.impl.ConnectionBase.writeToChannel(Object, boolean, ChannelPromise) ConnectionBase.java","4570","5","10","857"
"io.vertx.core.net.impl.ConnectionBase.write(Object, Boolean, ChannelPromise) ConnectionBase.java","4532","5","8","857"
"io.netty.channel.AbstractChannelHandlerContext.write(Object, ChannelPromise) AbstractChannelHandlerContext.java","4513","1","16","3424"
"io.netty.channel.AbstractChannelHandlerContext.write(Object, boolean, ChannelPromise) AbstractChannelHandlerContext.java","4508","1","68","3424"
"io.netty.channel.AbstractChannelHandlerContext.invokeWrite(Object, ChannelPromise) AbstractChannelHandlerContext.java","4378","1","24","3424"
"io.netty.channel.AbstractChannelHandlerContext.invokeWrite0(Object, ChannelPromise) AbstractChannelHandlerContext.java","4370","1","28","3424"
"io.netty.handler.codec.http.websocketx.extensions.WebSocketServerExtensionHandler.write(ChannelHandlerContext, Object, ChannelPromise) WebSocketServerExtensionHandler.java","4361","5","5","857"
"io.netty.handler.codec.http.websocketx.extensions.WebSocketServerExtensionHandler.onHttpResponseWrite(ChannelHandlerContext, HttpResponse, ChannelPromise) WebSocketServerExtensionHandler.java","4356","5","12","857"
"io.netty.handler.codec.ByteToMessageDecoder.callDecode(ChannelHandlerContext, ByteBuf, List) ByteToMessageDecoder.java","4350","5","28","857"
"io.netty.channel.ChannelDuplexHandler.write(ChannelHandlerContext, Object, ChannelPromise) ChannelDuplexHandler.java","4330","5","4","857"
